# GREAT version 4.0.4	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
1110002E22Rik	H3K4me3Heart_3805 (-63838)
Pdgfrl	H3K4me3Heart_9310 (+89169)
Pdia4	H3K4me3Heart_6791 (+65015)
Pdik1l	H3K4me3Heart_4877 (-5658)
Pdk1	H3K4me3Heart_1801 (-83925)
Pdk4	H3K4me3Heart_6585 (-144916), H3K4me3Heart_6583 (+1318), H3K4me3Heart_6582 (+53142)
Pdlim1	H3K4me3Heart_19875 (-106176)
Pdlim3	H3K4me3Heart_9331 (-220196), H3K4me3Heart_9333;H3K4me3Heart_9334 (+2828)
Pdp2	H3K4me3Heart_9847 (+17765)
Pdpn	H3K4me3Heart_5051 (+2342)
Pds5a	H3K4me3Heart_5619 (+1793)
Pdxk	H3K4me3Heart_11812 (-22745)
Pdyn	H3K4me3Heart_2300 (+71848)
Pdzd7	H3K4me3Heart_19961 (+15725)
Pdzrn3	H3K4me3Heart_7217 (-154677)
Pdzrn4	H3K4me3Heart_17006 (+237392)
Pear1	H3K4me3Heart_3261 (+19916)
Peli1	H3K4me3Heart_12513 (-231750)
Per3	H3K4me3Heart_5141 (+32064)
Pex14	H3K4me3Heart_5102 (+42318), H3K4me3Heart_5101 (+138897)
Pex26	H3K4me3Heart_7349 (-10162)
Pex3	H3K4me3Heart_11350 (-11828)
Phf19	H3K4me3Heart_1591 (-31070)
Phf2	H3K4me3Heart_15138 (+201685)
Phf24	H3K4me3Heart_4107 (+16416)
Phf3	H3K4me3Heart_90 (-8817)
Phkg1	H3K4me3Heart_6255 (+24265)
Phlda1	H3K4me3Heart_12156 (+30979), H3K4me3Heart_12158 (+395078)
Phox2b	H3K4me3Heart_5634 (+351204)
Phxr2	H3K4me3Heart_12107 (-45885), H3K4me3Heart_12106 (+10050)
Phyh	H3K4me3Heart_1218 (-1153)
Phyhipl	H3K4me3Heart_11731 (-558190), H3K4me3Heart_11730 (-118409)
Phykpl	H3K4me3Heart_12717 (-293351)
Pias1	H3K4me3Heart_10657 (-158021)
Pias4	H3K4me3Heart_11917 (+26947)
Pigf	H3K4me3Heart_18802 (+56751)
Pigyl	H3K4me3Heart_10265 (-1024)
Pik3c2b	H3K4me3Heart_678 (+22693)
Pik3ip1	H3K4me3Heart_12374 (+44313)
Pik3r1	H3K4me3Heart_15562 (-896823), H3K4me3Heart_15559 (+10281)
Pik3r2	H3K4me3Heart_9518 (-11149)
Pik3r3	H3K4me3Heart_4531 (-44914), H3K4me3Heart_4532 (-38819)
Pim1	H3K4me3Heart_18216 (-32669), H3K4me3Heart_18221 (+12608)
Pirt	H3K4me3Heart_12925 (+190)
Pitpnb	H3K4me3Heart_5940 (-471481)
Pitpnc1	H3K4me3Heart_13728 (+268676)
Pitrm1	H3K4me3Heart_14776 (-650232)
Pitx2	H3K4me3Heart_3730 (-223033), H3K4me3Heart_3734 (+7572), H3K4me3Heart_3735 (+11141)
Pja1	H3K4me3Heart_20522 (-104117)
Pja2	H3K4me3Heart_18628 (-160864)
Pkdcc	H3K4me3Heart_18761 (+5794), H3K4me3Heart_18764 (+73042)
Pknox2	H3K4me3Heart_10350 (-56582)
Pkp4	H3K4me3Heart_1708 (+277475)
Pla1a	H3K4me3Heart_17607 (+64594)
Pla2r1	H3K4me3Heart_1718 (+37183)
Plagl1	H3K4me3Heart_11343 (+2371)
Plbd1	H3K4me3Heart_7495 (+41280), H3K4me3Heart_7494 (+118406)
Plcb1	H3K4me3Heart_2363 (+653651), H3K4me3Heart_2364 (+750392)
Plcb4	H3K4me3Heart_2363 (-302020), H3K4me3Heart_2364 (-205279)
Plcg2	H3K4me3Heart_10001 (-94382)
Plch1	H3K4me3Heart_3127 (+241198)
Plcl1	H3K4me3Heart_254 (+482567)
Pld3	H3K4me3Heart_7907 (-7391)
Pld6	H3K4me3Heart_12831 (+79333)
Plekha2	H3K4me3Heart_9187 (+3567)
Plekha3	H3K4me3Heart_1873 (+131845), H3K4me3Heart_1874 (+305440)
Plekha4	H3K4me3Heart_8178 (-2514)
Plekha5	H3K4me3Heart_7521 (+90919)
Plekhg1	H3K4me3Heart_11300 (-22019)
Plekhg3	H3K4me3Heart_14399 (-85594), H3K4me3Heart_14401 (+13355)
Plekhg6	H3K4me3Heart_7414 (-111347)
Plekhh3	H3K4me3Heart_13569 (+7061)
Plekho1	H3K4me3Heart_3433 (+34857)
Plekhs1	H3K4me3Heart_20090 (+13316)
Plet1	H3K4me3Heart_10497 (-31637)
Plin3	H3K4me3Heart_18577 (+2634)
Plin5	H3K4me3Heart_18566 (-2936)
Pln	H3K4me3Heart_11577 (-383), H3K4me3Heart_11578;H3K4me3Heart_11579;H3K4me3Heart_11580;H3K4me3Heart_11581 (+2785), H3K4me3Heart_11582 (+5934)
Plpp1	H3K4me3Heart_15635 (+34526)
Plrg1	H3K4me3Heart_3219 (+218202)
Plscr2	H3K4me3Heart_10903 (+541)
Plxna4	H3K4me3Heart_6713 (+94684)
Plxnb1	H3K4me3Heart_11114 (+3875)
Plxnb2	H3K4me3Heart_16974 (+11323)
Plxnd1	H3K4me3Heart_7292 (-78047)
Pmaip1	H3K4me3Heart_19288 (+51893)
Pmepa1	H3K4me3Heart_2773 (-63802), H3K4me3Heart_2772 (-30787)
Pmfbp1	H3K4me3Heart_9935 (-35394), H3K4me3Heart_9936 (-29966)
Pmp22	H3K4me3Heart_12904 (-1925)
Pnkp	H3K4me3Heart_8131 (+9452)
Pnldc1	H3K4me3Heart_17950 (+29790)
Pnmal1	H3K4me3Heart_7741 (-12913)
Pnmal2	H3K4me3Heart_7741 (+2200)
Pnmt	H3K4me3Heart_13494 (-2314)
Pnpla1	H3K4me3Heart_18199 (+51238)
Pofut2	H3K4me3Heart_11784 (-71396), H3K4me3Heart_11785 (-7544)
Pola2	H3K4me3Heart_19552 (+12364)
Polg	H3K4me3Heart_8380 (-112649)
Poll	H3K4me3Heart_19978 (+52713)
Pomp	H3K4me3Heart_6506 (-107480), H3K4me3Heart_6508 (-34881)
Pomt1	H3K4me3Heart_1523 (-68788)
Pon1	H3K4me3Heart_6576 (+187967)
Popdc2	H3K4me3Heart_17606 (+627), H3K4me3Heart_17607 (+6336)
Postn	H3K4me3Heart_3084 (+1452)
Pou3f3	H3K4me3Heart_182 (-12620)
Pou3f4	H3K4me3Heart_20605 (+2536)
Pou4f1	H3K4me3Heart_16311 (+1940)
Pou6f2	H3K4me3Heart_14827 (+257567)
Ppa2	H3K4me3Heart_3772 (+29484)
Ppargc1a	H3K4me3Heart_5567 (+2650), H3K4me3Heart_5566 (+141466)
Ppfia4	H3K4me3Heart_702 (-10170)
Pphln1	H3K4me3Heart_17013 (+140611)
Ppm1e	H3K4me3Heart_13281 (+142369)
Ppm1h	H3K4me3Heart_12265 (+305252), H3K4me3Heart_12267 (+312021)
Ppm1l	H3K4me3Heart_3174 (+271584)
Ppp1r12b	H3K4me3Heart_716 (+46340), H3K4me3Heart_715 (+152239)
Ppp1r12c	H3K4me3Heart_7619 (-8214)
Ppp1r14c	H3K4me3Heart_11301 (+2393)
Ppp1r15a	H3K4me3Heart_8178 (+2452)
Ppp1r15b	H3K4me3Heart_678 (-62438)
Ppp1r1b	H3K4me3Heart_13490 (-5823), H3K4me3Heart_13491 (-2840)
Ppp1r21	H3K4me3Heart_18828 (-21078)
Ppp1r36	H3K4me3Heart_14399 (+30367)
Ppp1r3a	H3K4me3Heart_6616 (+450), H3K4me3Heart_6615 (+1598)
Ppp1r3b	H3K4me3Heart_9273 (-170412), H3K4me3Heart_9274 (-138331)
Ppp1r3c	H3K4me3Heart_19841 (+2120)
Ppp1r9a	H3K4me3Heart_6576 (+102659)
Ppp2r1b	H3K4me3Heart_10511 (-3777)
Ppp2r3a	H3K4me3Heart_10970;H3K4me3Heart_10971 (+53437), H3K4me3Heart_10968;H3K4me3Heart_10969 (+55626)
Ppp2r5a	H3K4me3Heart_1169 (+946)
Ppp3ca	H3K4me3Heart_3795 (+54843)
Prag1	H3K4me3Heart_9284 (+1663)
Pramel1	H3K4me3Heart_5055 (-4810)
Prcp	H3K4me3Heart_8488 (+1859)
Prdm10	H3K4me3Heart_10313 (-27003)
Prdm14	H3K4me3Heart_40 (-166363)
Prdm16	H3K4me3Heart_5193 (-4712), H3K4me3Heart_5191 (+93761)
Prdm2	H3K4me3Heart_5051 (-84517)
Prdm6	H3K4me3Heart_19181 (+9034)
Prdm8	H3K4me3Heart_5803 (+8924)
Prex1	H3K4me3Heart_2680 (+310140)
Prickle1	H3K4me3Heart_17017 (-449530), H3K4me3Heart_17013 (+56930)
Prima1	H3K4me3Heart_14610 (-95891)
Prkab2	H3K4me3Heart_3493 (-6543), H3K4me3Heart_3496 (+25891)
Prkacb	H3K4me3Heart_3863 (+14720)
Prkag2	H3K4me3Heart_5361 (+779)
Prkag3	H3K4me3Heart_380 (+424)
Prkar1a	H3K4me3Heart_13750 (-28163), H3K4me3Heart_13752 (+2553)
Prkce	H3K4me3Heart_18796 (+18197), H3K4me3Heart_18797 (+270093)
Prkcg	H3K4me3Heart_7592 (-5072)
Prkch	H3K4me3Heart_14364 (+262201)
Prkcq	H3K4me3Heart_1249 (-71946)
Prkd1	H3K4me3Heart_14217 (-409553)
Prkd3	H3K4me3Heart_18725 (+2267)
Prkg2	H3K4me3Heart_5812 (-533644), H3K4me3Heart_5809 (-211553)
Prkra	H3K4me3Heart_1869 (+107926)
Prmt8	H3K4me3Heart_7438 (+1664), H3K4me3Heart_7437 (+3121), H3K4me3Heart_7436 (+151581)
Prnd	H3K4me3Heart_2341 (+889), H3K4me3Heart_2344 (+30163)
Proc	H3K4me3Heart_18974 (-1412)
Prok2	H3K4me3Heart_7206 (-436969)
Prosc	H3K4me3Heart_9216 (+19658)
Prox2	H3K4me3Heart_14492 (-18)
Prpf38b	H3K4me3Heart_3623 (+2398)
Prr36	H3K4me3Heart_9057 (+10739)
Prrc2b	H3K4me3Heart_1523 (+16720)
Prrx1	H3K4me3Heart_890 (+4932)
Prrxl1	H3K4me3Heart_15837 (+29509)
Prss36	H3K4me3Heart_8839 (+2047)
Prss48	H3K4me3Heart_3246 (+8689)
Prss52	H3K4me3Heart_16123 (+205702)
Prss54	H3K4me3Heart_9819 (-24470)
Prss8	H3K4me3Heart_8839 (-14565)
Prtg	H3K4me3Heart_10771 (-26684), H3K4me3Heart_10772 (-6300)
Psapl1	H3K4me3Heart_5495 (-282119), H3K4me3Heart_5496 (+109662)
Psat1	H3K4me3Heart_19692 (+339600)
Psd2	H3K4me3Heart_19032 (-51660)
Psd3	H3K4me3Heart_9442 (+25874)
Psmd12	H3K4me3Heart_13732 (+31083)
Psmd4	H3K4me3Heart_3397 (+17685)
Psmd7	H3K4me3Heart_9922 (-653045)
Psph	H3K4me3Heart_6251 (+49749)
Ptbp2	H3K4me3Heart_3666 (+284440)
Ptch1	H3K4me3Heart_15301 (-86)
Ptf1a	H3K4me3Heart_1309 (-14677), H3K4me3Heart_1311 (+2685)
Ptgdr	H3K4me3Heart_15875 (+15277)
Ptk2b	H3K4me3Heart_16148 (+23174)
Ptk7	H3K4me3Heart_18478 (+8151)
Ptms	H3K4me3Heart_7393 (-2104)
Ptn	H3K4me3Heart_6738 (-285825)
Ptov1	H3K4me3Heart_8131 (+3195)
Ptp4a1	H3K4me3Heart_90 (+77697)
Ptp4a2	H3K4me3Heart_4764 (-48341), H3K4me3Heart_4765 (-24811), H3K4me3Heart_4769 (+86261), H3K4me3Heart_4770 (+93807)
Ptpdc1	H3K4me3Heart_15134 (+73221)
Ptpn13	H3K4me3Heart_5843 (-88843)
Ptpn14	H3K4me3Heart_1153 (+46856)
Ptpn23	H3K4me3Heart_11124 (+27413)
Ptpn3	H3K4me3Heart_4242 (-259277), H3K4me3Heart_4240 (-7001), H3K4me3Heart_4239 (+1608)
Ptprb	H3K4me3Heart_12173 (-25726)
Ptprd	H3K4me3Heart_4303 (-193730)
Ptpre	H3K4me3Heart_8899 (+67540)
Ptprn2	H3K4me3Heart_14746 (+961700)
Ptpro	H3K4me3Heart_7510 (+158703), H3K4me3Heart_7511 (+203884)
Ptprt	H3K4me3Heart_2612 (+2139)
Ptpru	H3K4me3Heart_4791 (+585021)
Pus3	H3K4me3Heart_10343 (-1038)
Pxn	H3K4me3Heart_6035 (-14793), H3K4me3Heart_6037 (+8604)
Pygm	H3K4me3Heart_19572 (+615)
Pyy	H3K4me3Heart_13613 (-30629)
Qk	H3K4me3Heart_17933 (+6308), H3K4me3Heart_17932 (+9984)
Rab14	H3K4me3Heart_1597 (-58863)
Rab17	H3K4me3Heart_517 (-47715)
Rab27a	H3K4me3Heart_10780 (+22389)
Rab30	H3K4me3Heart_8484 (-34393)
Rab3c	H3K4me3Heart_15612 (+504097)
Rab3gap2	H3K4me3Heart_1122 (-10477)
Rab3ip	H3K4me3Heart_12180 (+5044)
Rab5c	H3K4me3Heart_13549 (+1814)
Racgap1	H3K4me3Heart_17115 (-2106)
Rack1	H3K4me3Heart_12672 (-9787)
Rad18	H3K4me3Heart_7245 (-248638)
Rad23b	H3K4me3Heart_4224 (-141578), H3K4me3Heart_4225 (-68282)
Raf1	H3K4me3Heart_7285 (-19024)
Ralgapa2	H3K4me3Heart_2411 (-298939)
Ramp3	H3K4me3Heart_12450 (+22052), H3K4me3Heart_12451 (+265668)
Rap1gap2	H3K4me3Heart_13073 (+63305)
Rapgef1	H3K4me3Heart_1440 (+24147)
Rapgef2	H3K4me3Heart_3191 (-34821), H3K4me3Heart_3189 (+73181), H3K4me3Heart_3187 (+225407)
Rapgef4	H3K4me3Heart_1805 (+273955)
Rapgef5	H3K4me3Heart_14746 (-69059), H3K4me3Heart_14748 (+142779), H3K4me3Heart_14749 (+144039)
Rapsn	H3K4me3Heart_1944 (-70243), H3K4me3Heart_1945 (+97)
Rarres2	H3K4me3Heart_6811 (+447)
Rars	H3K4me3Heart_12621 (-39613)
Rasa1	H3K4me3Heart_15445 (+409)
Rasa2	H3K4me3Heart_10932 (-109109)
Rasal1	H3K4me3Heart_6112 (-17428), H3K4me3Heart_6113 (-56)
Rasal2	H3K4me3Heart_858 (-31237), H3K4me3Heart_856 (+155964), H3K4me3Heart_855 (+233069)
Rasal3	H3K4me3Heart_18264 (+6988)
Rasgef1b	H3K4me3Heart_5812 (+158050), H3K4me3Heart_5809 (+480141)
Rasgrf1	H3K4me3Heart_10892 (+1348)
Rasgrp3	H3K4me3Heart_18713 (-27206)
Rasl11b	H3K4me3Heart_5683 (-33441)
Rassf2	H3K4me3Heart_2344 (+48976)
Rassf3	H3K4me3Heart_12246 (-34255)
Rassf5	H3K4me3Heart_654 (+11656)
Rbbp4	H3K4me3Heart_4745 (+41541)
Rbbp6	H3K4me3Heart_8741 (-29692), H3K4me3Heart_8744 (+76182)
Rbbp8	H3K4me3Heart_18888 (-736763)
Rbfox1	H3K4me3Heart_17273 (-30976), H3K4me3Heart_17275 (-20570), H3K4me3Heart_17276 (+27)
Rbfox2	H3K4me3Heart_16767 (-49596)
Rbks	H3K4me3Heart_5434 (+126207)
Rbl2	H3K4me3Heart_9752 (-215085)
Rbm10	H3K4me3Heart_20250 (-562)
Rbm19	H3K4me3Heart_6101 (+94689)
Rbm20	H3K4me3Heart_20063 (-23181), H3K4me3Heart_20064 (-16196), H3K4me3Heart_20065 (-14983), H3K4me3Heart_20067 (+2135), H3K4me3Heart_20068 (+4484), H3K4me3Heart_20069 (+21089), H3K4me3Heart_20071 (+116154)
Rbm24	H3K4me3Heart_15105 (-4145), H3K4me3Heart_15107 (+4018), H3K4me3Heart_15108 (+5269)
Rbm34	H3K4me3Heart_10141 (+310477)
Rbm38	H3K4me3Heart_2768 (+67310)
Rbm8a2	H3K4me3Heart_1027 (+42635)
Rbms1	H3K4me3Heart_1722 (+22602), H3K4me3Heart_1720 (+240625)
Rbpj	H3K4me3Heart_5586 (-120308)
Rbpms	H3K4me3Heart_9255 (-49074), H3K4me3Heart_9252 (+4670), H3K4me3Heart_9251 (+5879), H3K4me3Heart_9250 (+26660)
Rcc2	H3K4me3Heart_5005 (-42479)
Rchy1	H3K4me3Heart_5763 (+2459)
Rcsd1	H3K4me3Heart_917 (-10701)
Rdh1	H3K4me3Heart_12319 (-3610)
Rdh9	H3K4me3Heart_12319 (-3676)
Reep3	H3K4me3Heart_11693 (+185584)
Rela	H3K4me3Heart_19534 (+23860)
Rere	H3K4me3Heart_5131 (+1679)
Rergl	H3K4me3Heart_7517 (+792897)
Rev1	H3K4me3Heart_153 (-88834)
Rev3l	H3K4me3Heart_11484 (-117348)
Rflna	H3K4me3Heart_6212 (-103214), H3K4me3Heart_6213 (-39291)
Rfx3	H3K4me3Heart_19774 (-651352), H3K4me3Heart_19773 (-154918)
Rfx4	H3K4me3Heart_11990 (-1220), H3K4me3Heart_11992 (+3220)
Rgag4	H3K4me3Heart_20551 (+52724)
Rgma	H3K4me3Heart_8334 (+17945)
Rgs16	H3K4me3Heart_813 (+1753)
Rgs2	H3K4me3Heart_781 (-2549)
Rhbdd1	H3K4me3Heart_446 (+42671)
Rhbdl2	H3K4me3Heart_4650 (+114)
Rhcg	H3K4me3Heart_8380 (+38646)
Rheb	H3K4me3Heart_5357 (-634)
Rhoj	H3K4me3Heart_14377 (+2597)
Rhoq	H3K4me3Heart_18802 (+5573)
Ric8b	H3K4me3Heart_11992 (-158334)
Rictor	H3K4me3Heart_16405 (+153575)
Rims4	H3K4me3Heart_2633 (-20914)
Riox2	H3K4me3Heart_17703 (+45459)
Ripor2	H3K4me3Heart_14953 (-35069)
Rlbp1	H3K4me3Heart_8374 (+26935), H3K4me3Heart_8373 (+27996), H3K4me3Heart_8372 (+111532)
Rmdn1	H3K4me3Heart_4001 (+1373)
Rmi2	H3K4me3Heart_17299 (+8911)
Rnasel	H3K4me3Heart_813 (-7324)
Rnd3	H3K4me3Heart_1673 (+177757)
Rnf11	H3K4me3Heart_4487 (+1527)
Rnf121	H3K4me3Heart_8581 (-1235)
Rnf144b	H3K4me3Heart_15121 (+25751), H3K4me3Heart_15124 (+150726), H3K4me3Heart_15126 (+733076)
Rnf157	H3K4me3Heart_13850 (+25562)
Rnf19b	H3K4me3Heart_4733 (-24827)
Rngtt	H3K4me3Heart_4056 (+406614)
Robo1	H3K4me3Heart_17725 (+2434), H3K4me3Heart_17726 (+145385)
Robo2	H3K4me3Heart_17728 (+574989)
Ropn1l	H3K4me3Heart_16490 (+35449)
Rpap3	H3K4me3Heart_17044 (+328706)
Rpe65	H3K4me3Heart_3923 (+183356)
Rpgrip1l	H3K4me3Heart_9759 (+25769)
Rph3al	H3K4me3Heart_13111 (+355)
Rpl10-ps3	H3K4me3Heart_10497 (-117921)
Rpl14	H3K4me3Heart_11229 (+48408), H3K4me3Heart_11233 (+298336)
Rpl34	H3K4me3Heart_3756 (-170140)
Rpl38	H3K4me3Heart_13783 (-502402), H3K4me3Heart_13784 (-469709)
Rplp0	H3K4me3Heart_6037 (-44055)
Rpp21	H3K4me3Heart_18393 (+5797)
Rpp30	H3K4me3Heart_19835 (+31649)
Rprd1b	H3K4me3Heart_2587 (+114888)
Rps12	H3K4me3Heart_11419 (+100024)
Rps24	H3K4me3Heart_15762 (+10231), H3K4me3Heart_15764 (+827583)
Rps6ka1	H3K4me3Heart_4860 (+59563), H3K4me3Heart_4859 (+71282)
Rps6ka2	H3K4me3Heart_17913 (+3033)
Rps6ka4	H3K4me3Heart_19580 (-7678)
Rragc	H3K4me3Heart_4658 (+517271)
Rreb1	H3K4me3Heart_15038 (-168985)
Rrp1b	H3K4me3Heart_18253 (+107432)
Rsad1	H3K4me3Heart_13361 (+4614)
Rsl1d1	H3K4me3Heart_17305 (-49015)
Rspo1	H3K4me3Heart_4677 (+3843)
Rtl1	H3K4me3Heart_14665 (+140589)
Rtp1	H3K4me3Heart_17463 (-12514), H3K4me3Heart_17464 (+69808)
Rtp2	H3K4me3Heart_17472 (-57039), H3K4me3Heart_17469 (-625)
Runx1	H3K4me3Heart_17829 (-597156), H3K4me3Heart_17828 (-180703), H3K4me3Heart_17825 (+193626)
Runx1t1	H3K4me3Heart_3984 (+766329)
Runx3	H3K4me3Heart_4901 (+45977), H3K4me3Heart_4902 (+54667), H3K4me3Heart_4905 (+146626)
Rusc2	H3K4me3Heart_4120 (+17509)
Rxfp1	H3K4me3Heart_3197 (-46724)
Rxfp2	H3K4me3Heart_6542 (-304735), H3K4me3Heart_6544 (-166125), H3K4me3Heart_6545 (+62021)
Rybp	H3K4me3Heart_7209 (-48372), H3K4me3Heart_7206 (+124080)
Ryr2	H3K4me3Heart_14792 (+4706)
S100a16	H3K4me3Heart_3371 (+4082)
S100a3	H3K4me3Heart_3371 (-58879)
S1pr3	H3K4me3Heart_15161 (-233811), H3K4me3Heart_15165 (+1518)
S1pr5	H3K4me3Heart_10233 (-118)
Sacs	H3K4me3Heart_16080 (-59371)
Sae1	H3K4me3Heart_7721 (+75428)
Samd13	H3K4me3Heart_3863 (-81104)
Samd4	H3K4me3Heart_15899 (+59389)
Sar1b	H3K4me3Heart_12727 (+37362)
Saraf	H3K4me3Heart_9264 (+145995)
Sarnp	H3K4me3Heart_12360 (+67348)
Sash1	H3K4me3Heart_11318 (+2255)
Saysd1	H3K4me3Heart_15722 (+48250)
Sbk1	H3K4me3Heart_8760 (-24167)
Sbno2	H3K4me3Heart_11852 (+27413)
Scaf4	H3K4me3Heart_17784 (+61899)
Scap	H3K4me3Heart_11124 (+47441)
Scarb1	H3K4me3Heart_6220 (+67251)
Scd2	H3K4me3Heart_19935 (-47192)
Scd3	H3K4me3Heart_19935 (+43212)
Schip1	H3K4me3Heart_3157 (-9620), H3K4me3Heart_3159 (+388475), H3K4me3Heart_3164;H3K4me3Heart_3165 (+518929)
Scn10a	H3K4me3Heart_11209 (+105214)
Scn2b	H3K4me3Heart_10457 (+4224)
Scn4b	H3K4me3Heart_10457 (-16337)
Scn5a	H3K4me3Heart_11209 (-10130)
Scn7a	H3K4me3Heart_1754 (+22)
Scn8a	H3K4me3Heart_17148 (+142831)
Scrg1	H3K4me3Heart_9397 (-106987)
Scrn2	H3K4me3Heart_13437 (-3871)
Scx	H3K4me3Heart_16730 (+4827)
Scyl1	H3K4me3Heart_19545 (-32021), H3K4me3Heart_19542 (+14145)
Scyl2	H3K4me3Heart_12033 (-22563)
Sdc2	H3K4me3Heart_16499 (+14320)
Sdk2	H3K4me3Heart_13784 (-132597), H3K4me3Heart_13783 (-99904), H3K4me3Heart_13780 (+254280)
Sdsl	H3K4me3Heart_6104 (+32256), H3K4me3Heart_6103 (+36502)
Sec11c	H3K4me3Heart_19277 (+5141)
Sec31a	H3K4me3Heart_5822 (+201121)
Selenof	H3K4me3Heart_3835 (+147604)
Selenon	H3K4me3Heart_4889 (-27083)
Sema3a	H3K4me3Heart_5281 (-891771)
Sema3b	H3K4me3Heart_11051 (+12284)
Sema3d	H3K4me3Heart_5281 (+124372)
Sema4a	H3K4me3Heart_3292 (+14543)
Sema5b	H3K4me3Heart_17578 (+46795)
Sema6c	H3K4me3Heart_3404 (+9376)
Sept5	H3K4me3Heart_17402 (-103435)
Sept7	H3K4me3Heart_10291 (+576)
Serpina3n	H3K4me3Heart_14616 (+64924)
Serpinb1b	H3K4me3Heart_15003 (-4601)
Serpinb8	H3K4me3Heart_583 (+106)
Serping1	H3K4me3Heart_1916 (+36782)
Sertad2	H3K4me3Heart_12509 (+96875)
Setbp1	H3K4me3Heart_19393 (+113267)
Setd1b	H3K4me3Heart_6168 (+483)
Setd4	H3K4me3Heart_17829 (+180581), H3K4me3Heart_17828 (+597034)
Setd7	H3K4me3Heart_3056 (-87473)
Sfmbt2	H3K4me3Heart_1249 (+727986)
Sfpq	H3K4me3Heart_4713 (+3955)
Sfr1	H3K4me3Heart_20038 (+24023)
Sfrp1	H3K4me3Heart_9175 (-23415)
Sfrp2	H3K4me3Heart_3219 (-492597)
Sfswap	H3K4me3Heart_6244 (-85493), H3K4me3Heart_6245 (-46237)
Sft2d2	H3K4me3Heart_907 (+2594)
Sgca	H3K4me3Heart_13373 (+3143)
Sgip1	H3K4me3Heart_4426 (+96046)
Sgk1	H3K4me3Heart_11400 (+55220)
Sgo1	H3K4me3Heart_18545 (+119454)
Sgpp1	H3K4me3Heart_14382 (+2132)
Sh2d4a	H3K4me3Heart_9449 (+280385)
Sh3bp4	H3K4me3Heart_496 (+22487)
Sh3glb1	H3K4me3Heart_3835 (+2293)
Sh3kbp1	H3K4me3Heart_20759 (+315751)
Sh3pxd2a	H3K4me3Heart_20034 (-21839), H3K4me3Heart_20030 (+144096), H3K4me3Heart_20026 (+235495)
Sh3rf1	H3K4me3Heart_9416 (+135769)
Shank1	H3K4me3Heart_8102 (+46799)
Shb	H3K4me3Heart_4162 (-61281)
Shc3	H3K4me3Heart_15165 (+156948)
Shisa3	H3K4me3Heart_5643 (-163496)
Shmt2	H3K4me3Heart_12310 (-4270)
Shox2	H3K4me3Heart_3149 (+2738)
Shq1	H3K4me3Heart_7209 (+335326)
Shroom3	H3K4me3Heart_5784 (+216786)
Shroom4	H3K4me3Heart_20143 (+177576)
Sidt1	H3K4me3Heart_17641 (+94040)
Sim2	H3K4me3Heart_17838 (-19224)
Sipa1	H3K4me3Heart_19534 (+2364)
Sipa1l1	H3K4me3Heart_14452 (-188860)
Sipa1l2	H3K4me3Heart_10124 (-46641), H3K4me3Heart_10123 (+164594), H3K4me3Heart_10120 (+305642)
Sirpa	H3K4me3Heart_2300 (+34430)
Sirt4	H3K4me3Heart_6035 (-7290)
Six1	H3K4me3Heart_14354 (+70374)
Six2	H3K4me3Heart_18793 (-169918)
Six3	H3K4me3Heart_18786 (-155800)
Six6	H3K4me3Heart_14352 (+355), H3K4me3Heart_14354 (+37081)
Skap2	H3K4me3Heart_6859 (+467151)
Ski	H3K4me3Heart_5206 (-13074)
Skiv2l2	H3K4me3Heart_15635 (+91960)
Skor1	H3K4me3Heart_10659 (-2094), H3K4me3Heart_10657 (+8080)
Skp2	H3K4me3Heart_16426 (+64589)
Slain1	H3K4me3Heart_16306 (+29794), H3K4me3Heart_16308 (+190063)
Slc10a4	H3K4me3Heart_5669 (+161587)
Slc10a7	H3K4me3Heart_9595 (+262187)
Slc15a1	H3K4me3Heart_16371 (+98)
Slc16a12	H3K4me3Heart_19830 (-109054)
Slc19a1	H3K4me3Heart_11782 (+56992)
Slc1a5	H3K4me3Heart_7731 (+12262)
Slc22a1	H3K4me3Heart_17948 (-86139), H3K4me3Heart_17947 (-84019), H3K4me3Heart_17945 (-58709)
Slc22a12	H3K4me3Heart_19577 (+40378)
Slc22a16	H3K4me3Heart_11496 (-145080)
Slc24a2	H3K4me3Heart_4344 (-139461)
Slc25a19	H3K4me3Heart_13820 (-70271)
Slc25a26	H3K4me3Heart_7173 (+92650)
Slc25a27	H3K4me3Heart_18427 (-2603)
Slc25a28	H3K4me3Heart_19922 (+58524)
Slc25a3	H3K4me3Heart_12041 (+1861)
Slc25a31	H3K4me3Heart_3025 (-26352)
Slc25a36	H3K4me3Heart_10940 (-2149), H3K4me3Heart_10938 (+54253)
Slc25a42	H3K4me3Heart_9487 (+19748)
Slc25a44	H3K4me3Heart_3292 (-16057)
Slc26a10	H3K4me3Heart_12294 (-2592)
Slc26a7	H3K4me3Heart_3984 (+112040)
Slc30a3	H3K4me3Heart_5417 (+10668)
Slc30a5	H3K4me3Heart_15559 (-924509)
Slc35a3	H3K4me3Heart_3652;H3K4me3Heart_3653 (-93026)
Slc35b3	H3K4me3Heart_15057 (-50976)
Slc38a10	H3K4me3Heart_13949 (-74194), H3K4me3Heart_13948 (-69654), H3K4me3Heart_13945 (-13605)
Slc38a8	H3K4me3Heart_10011 (+10723)
